dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-228.9406022
2.8,2.8,3.35,-228.94331804
2.8,2.8,3.9,-228.9447448
2.8,2.8,4.45,-228.94639292
2.8,2.8,5.0,-228.9492718
2.8,3.35,2.8,-228.94353129
2.8,3.35,3.35,-228.94578152
2.8,3.35,3.9,-228.94669311
2.8,3.35,4.45,-228.94762267
2.8,3.35,5.0,-228.94899646
2.8,3.9,2.8,-228.94574614
2.8,3.9,3.35,-228.94715396
2.8,3.9,3.9,-228.94748535
2.8,3.9,4.45,-228.94793768
2.8,3.9,5.0,-228.94860687
2.8,4.45,2.8,-228.94891039
2.8,4.45,3.35,-228.94863312
2.8,4.45,3.9,-228.94823183
2.8,4.45,4.45,-228.94823752
2.8,4.45,5.0,-228.94857151
2.8,5.0,2.8,-228.95385394
2.8,5.0,3.35,-228.9508842
2.8,5.0,3.9,-228.94933757
2.8,5.0,4.45,-228.94883865
2.8,5.0,5.0,-228.94883831
3.35,2.8,2.8,-228.94344818
3.35,2.8,3.35,-228.94583764
3.35,2.8,3.9,-228.94697648
3.35,2.8,4.45,-228.94816118
3.35,2.8,5.0,-228.94981665
3.35,3.35,2.8,-228.94573882
3.35,3.35,3.35,-228.94828934
3.35,3.35,3.9,-228.94920282
3.35,3.35,4.45,-228.9500386
3.35,3.35,5.0,-228.95103556
3.35,3.9,2.8,-228.94707782
3.35,3.9,3.35,-228.9492924
3.35,3.9,3.9,-228.94995318
3.35,3.9,4.45,-228.95042675
3.35,3.9,5.0,-228.95100636
3.35,4.45,2.8,-228.94906364
3.35,4.45,3.35,-228.95037788
3.35,4.45,3.9,-228.95060519
3.35,4.45,4.45,-228.95082335
3.35,4.45,5.0,-228.95117428
3.35,5.0,2.8,-228.9522693
3.35,5.0,3.35,-228.95195871
3.35,5.0,3.9,-228.95146817
3.35,5.0,4.45,-228.95135758
3.35,5.0,5.0,-228.9515022
3.9,2.8,2.8,-228.94560001
3.9,2.8,3.35,-228.94706844
3.9,2.8,3.9,-228.94765673
3.9,2.8,4.45,-228.94848529
3.9,2.8,5.0,-228.94966542
3.9,3.35,2.8,-228.94702795
3.9,3.35,3.35,-228.94925759
3.9,3.35,3.9,-228.94996421
3.9,3.35,4.45,-228.95052627
3.9,3.35,5.0,-228.95124281
3.9,3.9,2.8,-228.9473824
3.9,3.9,3.35,-228.94991317
3.9,3.9,3.9,-228.95065801
3.9,3.9,4.45,-228.95111324
3.9,3.9,5.0,-228.95161369
3.9,4.45,2.8,-228.94832762
3.9,4.45,3.35,-228.95055592
3.9,4.45,3.9,-228.95114608
3.9,4.45,4.45,-228.95148638
3.9,4.45,5.0,-228.9518591
3.9,5.0,2.8,-228.95027035
3.9,5.0,3.35,-228.95160926
3.9,5.0,3.9,-228.95179648
3.9,5.0,4.45,-228.95194515
3.9,5.0,5.0,-228.95219031
4.45,2.8,2.8,-228.94884427
4.45,2.8,3.35,-228.9485072
4.45,2.8,3.9,-228.94820462
4.45,2.8,4.45,-228.94849698
4.45,2.8,5.0,-228.94935334
4.45,3.35,2.8,-228.94901832
4.45,3.35,3.35,-228.95032351
4.45,3.35,3.9,-228.95057388
4.45,3.35,4.45,-228.95087267
4.45,3.35,5.0,-228.95137496
4.45,3.9,2.8,-228.94832161
4.45,3.9,3.35,-228.95055106
4.45,3.9,3.9,-228.9511431
4.45,3.9,4.45,-228.95149733
4.45,3.9,5.0,-228.95190398
4.45,4.45,2.8,-228.94820102
4.45,4.45,3.35,-228.95075945
4.45,4.45,3.9,-228.95146561
4.45,4.45,4.45,-228.95183369
4.45,4.45,5.0,-228.95219547
4.45,5.0,2.8,-228.94897065
4.45,5.0,3.35,-228.9512355
4.45,5.0,3.9,-228.95180798
4.45,5.0,4.45,-228.95210248
4.45,5.0,5.0,-228.95240167
5.0,2.8,2.8,-228.95410642
5.0,2.8,3.35,-228.95085832
5.0,2.8,3.9,-228.94922146
5.0,2.8,4.45,-228.94885441
5.0,2.8,5.0,-228.94919482
5.0,3.35,2.8,-228.95230067
5.0,3.35,3.35,-228.95193561
5.0,3.35,3.9,-228.95141846
5.0,3.35,4.45,-228.95134745
5.0,3.35,5.0,-228.95160964
5.0,3.9,2.8,-228.95027357
5.0,3.9,3.35,-228.95160603
5.0,3.9,3.9,-228.95178566
5.0,3.9,4.45,-228.95194498
5.0,3.9,5.0,-228.95222515
5.0,4.45,2.8,-228.94888314
5.0,4.45,3.35,-228.95120313
5.0,4.45,3.9,-228.95180079
5.0,4.45,4.45,-228.95211047
5.0,4.45,5.0,-228.95242644
5.0,5.0,2.8,-228.9487076
5.0,5.0,3.35,-228.95133328
5.0,5.0,3.9,-228.95205153
5.0,5.0,4.45,-228.95240145
5.0,5.0,5.0,-228.95271958
